Fault,Va,Vb,Vc,Ia,Ib,Ic
Healthy,455456.8195,-768885.0966,313428.2771,-380.6416979,-51.96026804,432.601966
Healthy,512241.2999,-757755.8172,245514.5174,-352.6270246,-95.91012675,448.5371513
Healthy,564479.0869,-739900.6431,175421.5563,-321.4829196,-139.0086141,460.4915337
Healthy,611706.5142,-715478.0581,103771.5439,-287.4858205,-180.8731848,468.3590053
Healthy,653504.388,-684704.8388,31200.45083,-250.9374877,-221.1322461,472.0697337
Healthy,689501.7072,-647854.1304,-41647.57678,-212.1623268,-259.4284555,471.5907823
Healthy,719378.9572,-605253.0225,-114125.9347,-171.504509,-295.4218934,466.9264024
Healthy,742870.9453,-557279.6455,-185591.2998,-129.3249159,-328.7930792,458.1179952
Healthy,759769.155,-504359.8144,-255409.3406,-85.99793662,-359.2458082,445.2437448
Healthy,769923.5967,-446963.2495,-322960.3471,-41.90814439,-386.5097796,428.417924
Healthy,773244.1386,-385599.4068,-387644.7319,2.553116641,-410.3429966,407.7898799
Healthy,769701.3076,-320812.956,-448888.3516,46.99120516,-430.5339137,383.5427086
Healthy,759326.55,-253178.9462,-506147.6038,91.01168557,-446.9033151,355.8916295
Healthy,742211.9528,-183297.7018,-558914.2511,134.223829,-459.3059047,325.0820758
Healthy,718509.4265,-111789.4935,-606719.933,176.2440813,-467.6315963,291.387515
Healthy,688429.3564,-39289.03339,-649140.323,216.6994678,-471.8064904,255.1070226
Healthy,652238.7353,33560.15941,-685798.8947,255.2309037,-471.7935305,216.5626268
Healthy,610258.7937,106111.4703,-716370.264,291.4963811,-467.5928314,176.0964503
Healthy,562862.1486,177720.9287,-740583.0772,325.1740052,-459.241679,134.0676738
Healthy,510469.4958,247752.9239,-758222.4198,355.964851,-446.8141986,90.84934763
Healthy,453545.8764,315585.8471,-769131.7236,383.5956167,-430.4206975,46.82508079
Healthy,392596.5484,380617.6084,-773214.1569,407.8210498,-410.2066855,2.385635761
Healthy,328162.5023,442270.9813,-770433.4837,428.4261235,-386.3515836,-42.07453981
Healthy,260815.6594,499998.7261,-760814.3855,445.2279457,-359.0671315,-86.16081425
Healthy,191153.7949,553288.4472,-744442.2421,458.0773824,-328.5955077,-129.4818747
Healthy,119795.2324,601667.1414,-721462.3738,466.860381,-295.2071807,-171.6532003
Healthy,47373.35572,644705.3958,-692078.7515,471.498983,-259.1985075,-212.3004754
Healthy,-25469.01353,682021.1999,-656552.1864,471.9520158,-220.8891038,-251.062912
Healthy,-98085.32131,713283.336,-615198.0147,468.2154582,-180.6190064,-287.5964518
Healthy,-169831.0201,738214.3191,-568383.299,460.3224764,-138.7456557,-321.5768207
Healthy,-240069.2901,756592.8601,-516523.57,448.3431288,-95.64072236,-352.7024064
Healthy,-308176.6914,768255.8297,-460079.1384,432.3837451,-51.68680894,-380.6969361
Healthy,-373548.6978,773099.7066,-399551.0089,412.5859818,-7.27405346,-405.3119283
Healthy,-435605.0628,771081.4963,-335476.4335,389.1255653,37.20333333,-426.3288987
Healthy,-493794.9697,762219.1124,-268424.1426,362.210732,81.35056699,-443.561299
Healthy,-547601.9209,746591.2181,-198989.2972,332.0803798,124.7757935,-456.8561734
